phi_calc,veff_calc,phi_ref,veff_ref,delta_abs,delta_rel
-0.4999999999999999,8.107243286303856e-05,-0.5,8.107243287724941e-05,-1.4210854715202004e-14,-1.752859043556575e-10
-0.4899999999999999,6.458985593837951e-05,-0.49,6.458985598101208e-05,-4.263256414560601e-14,-6.600504599071872e-10
-0.47999999999999987,5.055650107976817e-05,-0.48,5.055650109397902e-05,-1.4210854715202004e-14,-2.8108857234375407e-10
-0.46999999999999986,3.875272301456789e-05,-0.47,3.87527230429896e-05,-2.842170943040401e-14,-7.334119307919322e-10
-0.45999999999999985,2.8968830889652963e-05,-0.45999999999999996,2.8968830918074673e-05,-2.842170943040401e-14,-9.81113442609474e-10
-0.44999999999999984,2.1005036757060225e-05,-0.44999999999999996,2.100503679969279e-05,-4.263256414560601e-14,-2.0296352990074045e-09
-0.43999999999999984,1.467140036481851e-05,-0.43999999999999995,1.4671400407451074e-05,-4.263256414560601e-14,-2.905827866571924e-09
-0.4299999999999998,9.787768632918414e-06,-0.42999999999999994,9.787768661340124e-06,-2.842170943040401e-14,-2.9037986505202666e-09
-0.4199999999999998,6.183709913898383e-06,-0.41999999999999993,6.183709899687528e-06,1.4210854715202004e-14,2.2981114809283175e-09
-0.4099999999999998,3.698442370136945e-06,-0.4099999999999999,3.6984423985586545e-06,-2.842170943040401e-14,-7.684778176207483e-09
-0.3999999999999998,2.1807561410014387e-06,-0.3999999999999999,2.180756169423148e-06,-2.842170943040401e-14,-1.3032960689925318e-08
-0.3899999999999998,1.4889283477259596e-06,-0.3899999999999999,1.488928376147669e-06,-2.842170943040401e-14,-1.9088701569339423e-08
-0.3799999999999998,1.490630452849473e-06,-0.3799999999999999,1.4906304812711824e-06,-2.842170943040401e-14,-1.906690476781777e-08
-0.3699999999999998,2.0628274342016084e-06,-0.3699999999999999,2.062827448412463e-06,-1.4210854715202004e-14,-6.8890176568760384e-09
-0.35999999999999976,3.091667849730584e-06,-0.3599999999999999,3.091667892363148e-06,-4.263256414560601e-14,-1.3789503151652997e-08
-0.34999999999999976,4.472364068419665e-06,-0.34999999999999987,4.47236408263052e-06,-1.4210854715202004e-14,-3.1774816299936775e-09
-0.33999999999999975,6.1090613172609665e-06,-0.33999999999999986,6.109061345682676e-06,-2.842170943040401e-14,-4.652385664859932e-09
-0.32999999999999974,7.914695871136246e-06,-0.32999999999999985,7.914695899557955e-06,-2.842170943040401e-14,-3.5910046060002622e-09
-0.31999999999999973,9.810839515012049e-06,-0.31999999999999984,9.810839529222903e-06,-1.4210854715202004e-14,-1.4484850835520308e-09
-0.3099999999999997,1.1727530917937656e-05,-0.30999999999999983,1.1727530974781075e-05,-5.684341886080802e-14,-4.8470064997521055e-09
-0.2999999999999997,1.3603092043013021e-05,-0.2999999999999998,1.3603092085645585e-05,-4.263256414560601e-14,-3.1340348118787823e-09
-0.2899999999999997,1.538392804434352e-05,-0.2899999999999998,1.5383928058554375e-05,-1.4210854715202004e-14,-9.237468259805029e-10
-0.2799999999999997,1.7024310380975294e-05,-0.2799999999999998,1.7024310423607858e-05,-4.263256414560601e-14,-2.504216798495804e-09
-0.2699999999999997,1.848614111565894e-05,-0.2699999999999998,1.8486141186713212e-05,-7.105427357601002e-14,-3.843650919807958e-09
-0.2599999999999997,1.9738697560001128e-05,-0.2599999999999998,1.9738697588422838e-05,-2.842170943040401e-14,-1.439897911353277e-09
-0.24999999999999967,2.0758355560701602e-05,-0.24999999999999978,2.0758355560701602e-05,0.0,0.0
-0.23999999999999966,2.1528291156869273e-05,-0.23999999999999977,2.1528291199501837e-05,-4.263256414560601e-14,-1.980304137961146e-09
-0.22999999999999965,2.203815820678301e-05,-0.22999999999999976,2.203815826362643e-05,-5.684341886080802e-14,-2.5793180256186392e-09
-0.21999999999999964,2.2283742083573088e-05,-0.21999999999999975,2.2283742083573088e-05,0.0,0.0
-0.20999999999999963,2.2266587492936196e-05,-0.20999999999999974,2.226658750714705e-05,-1.4210854715202004e-14,-6.382143070032915e-10
-0.19999999999999962,2.199360118027016e-05,-0.19999999999999973,2.199360123711358e-05,-5.684341886080802e-14,-2.5845434882617745e-09
-0.1899999999999996,2.1476627779293267e-05,-0.18999999999999972,2.1476627836136686e-05,-5.684341886080802e-14,-2.64675717689548e-09
-0.1799999999999996,2.0731999413214908e-05,-0.17999999999999972,2.0731999470058327e-05,-5.684341886080802e-14,-2.741820389437242e-09
-0.1699999999999996,1.9780059759000324e-05,-0.1699999999999997,1.978005974478947e-05,1.4210854715202004e-14,7.184434677425823e-10
-0.1599999999999996,1.8644662858946504e-05,-0.1599999999999997,1.8644662887368213e-05,-2.842170943040401e-14,-1.524388485975778e-09
-0.14999999999999958,1.735264918067969e-05,-0.1499999999999997,1.73526492091014e-05,-2.842170943040401e-14,-1.6378887792820086e-09
-0.13999999999999957,1.5933300360870817e-05,-0.13999999999999968,1.5933300389292526e-05,-2.842170943040401e-14,-1.7837929829970395e-09
-0.12999999999999956,1.4417775688002621e-05,-0.12999999999999967,1.4417775759056894e-05,-7.105427357601002e-14,-4.928240996630528e-09
-0.11999999999999955,1.2838535425885311e-05,-0.11999999999999968,1.283853545430702e-05,-2.842170943040401e-14,-2.2137812783676353e-09
-0.10999999999999954,1.1228753692194005e-05,-0.10999999999999968,1.1228753720615714e-05,-2.842170943040401e-14,-2.531154403914163e-09
-0.09999999999999953,9.621728608522062e-06,-0.09999999999999969,9.621728636943772e-06,-2.842170943040401e-14,-2.9539088559695472e-09
-0.08999999999999952,8.050294795225454e-06,-0.08999999999999969,8.050294837858019e-06,-4.263256414560601e-14,-5.295776739147292e-09
-0.07999999999999952,6.546246083871665e-06,-0.0799999999999997,6.546246126504229e-06,-4.263256414560601e-14,-6.512520812958234e-09
-0.06999999999999951,5.139776220630665e-06,-0.0699999999999997,5.13977623484152e-06,-1.4210854715202004e-14,-2.7648780931102504e-09
-0.0599999999999995,3.858946143964204e-06,-0.0599999999999997,3.858946186596768e-06,-4.263256414560601e-14,-1.1047721860875177e-08
-0.04999999999999949,2.7291868320844515e-06,-0.0499999999999997,2.7291868320844515e-06,0.0,0.0
-0.03999999999999948,1.77284553615209e-06,-0.039999999999999696,1.7728455787846542e-06,-4.263256414560601e-14,-2.4047533894538113e-08
-0.02999999999999947,1.0087856594509503e-06,-0.029999999999999694,1.0087856594509503e-06,0.0,0.0
-0.019999999999999463,4.520460237245061e-07,-0.01999999999999969,4.520460379353608e-07,-1.4210854715202004e-14,-3.1436742107302904e-08
-0.009999999999999454,1.1356873130807799e-07,-0.009999999999999691,1.1356877394064213e-07,-4.263256414560601e-14,-3.753898423512818e-07
5.551115123125783e-16,0.0,3.0878077872387166e-16,0.0,0.0,0.0
0.010000000000000564,1.1356873130807799e-07,0.010000000000000309,1.1356877394064213e-07,-4.263256414560601e-14,-3.753898423512818e-07
0.020000000000000573,4.520460237245061e-07,0.02000000000000031,4.520460379353608e-07,-1.4210854715202004e-14,-3.1436742107302904e-08
0.030000000000000582,1.0087856594509503e-06,0.03000000000000031,1.0087856594509503e-06,0.0,0.0
0.04000000000000059,1.77284553615209e-06,0.04000000000000031,1.7728455787846542e-06,-4.263256414560601e-14,-2.4047533894538113e-08
0.0500000000000006,2.7291868320844515e-06,0.050000000000000315,2.7291868320844515e-06,0.0,0.0
0.06000000000000061,3.858946143964204e-06,0.06000000000000032,3.858946186596768e-06,-4.263256414560601e-14,-1.1047721860875177e-08
0.07000000000000062,5.139776220630665e-06,0.07000000000000031,5.13977623484152e-06,-1.4210854715202004e-14,-2.7648780931102504e-09
0.08000000000000063,6.546246083871665e-06,0.08000000000000031,6.546246126504229e-06,-4.263256414560601e-14,-6.512520812958234e-09
0.09000000000000064,8.050294795225454e-06,0.0900000000000003,8.050294837858019e-06,-4.263256414560601e-14,-5.295776739147292e-09
0.10000000000000064,9.621728608522062e-06,0.1000000000000003,9.621728636943772e-06,-2.842170943040401e-14,-2.9539088559695472e-09
0.11000000000000065,1.1228753692194005e-05,0.11000000000000029,1.1228753720615714e-05,-2.842170943040401e-14,-2.531154403914163e-09
0.12000000000000066,1.2838535425885311e-05,0.12000000000000029,1.283853545430702e-05,-2.842170943040401e-14,-2.2137812783676353e-09
0.13000000000000067,1.4417775702213476e-05,0.13000000000000028,1.4417775759056894e-05,-5.684341886080802e-14,-3.942592797304423e-09
0.14000000000000068,1.5933300360870817e-05,0.1400000000000003,1.5933300389292526e-05,-2.842170943040401e-14,-1.7837929829970395e-09
0.1500000000000007,1.735264918067969e-05,0.1500000000000003,1.73526492091014e-05,-2.842170943040401e-14,-1.6378887792820086e-09
0.1600000000000007,1.8644662858946504e-05,0.1600000000000003,1.8644662887368213e-05,-2.842170943040401e-14,-1.524388485975778e-09
0.1700000000000007,1.9780059759000324e-05,0.17000000000000032,1.978005974478947e-05,1.4210854715202004e-14,7.184434677425823e-10
0.18000000000000071,2.0731999413214908e-05,0.18000000000000033,2.0731999470058327e-05,-5.684341886080802e-14,-2.741820389437242e-09
0.19000000000000072,2.1476627779293267e-05,0.19000000000000034,2.1476627836136686e-05,-5.684341886080802e-14,-2.64675717689548e-09
0.20000000000000073,2.199360118027016e-05,0.20000000000000034,2.199360123711358e-05,-5.684341886080802e-14,-2.5845434882617745e-09
0.21000000000000074,2.2266587492936196e-05,0.21000000000000035,2.226658750714705e-05,-1.4210854715202004e-14,-6.382143070032915e-10
0.22000000000000075,2.2283742083573088e-05,0.22000000000000036,2.2283742083573088e-05,0.0,0.0
0.23000000000000076,2.203815820678301e-05,0.23000000000000037,2.203815826362643e-05,-5.684341886080802e-14,-2.5793180256186392e-09
0.24000000000000077,2.1528291156869273e-05,0.24000000000000038,2.1528291199501837e-05,-4.263256414560601e-14,-1.980304137961146e-09
0.2500000000000008,2.0758355546490748e-05,0.2500000000000004,2.0758355560701602e-05,-1.4210854715202004e-14,-6.845848012212051e-10
0.2600000000000008,1.9738697560001128e-05,0.2600000000000004,1.9738697588422838e-05,-2.842170943040401e-14,-1.439897911353277e-09
0.2700000000000008,1.848614111565894e-05,0.2700000000000004,1.8486141186713212e-05,-7.105427357601002e-14,-3.843650919807958e-09
0.2800000000000008,1.7024310380975294e-05,0.2800000000000004,1.7024310423607858e-05,-4.263256414560601e-14,-2.504216798495804e-09
0.2900000000000008,1.538392804434352e-05,0.2900000000000004,1.5383928058554375e-05,-1.4210854715202004e-14,-9.237468259805029e-10
0.3000000000000008,1.3603092043013021e-05,0.30000000000000043,1.3603092085645585e-05,-4.263256414560601e-14,-3.1340348118787823e-09
0.31000000000000083,1.1727530917937656e-05,0.31000000000000044,1.1727530974781075e-05,-5.684341886080802e-14,-4.8470064997521055e-09
0.32000000000000084,9.810839500801194e-06,0.32000000000000045,9.810839529222903e-06,-2.842170943040401e-14,-2.8969701671040617e-09
0.33000000000000085,7.914695871136246e-06,0.33000000000000046,7.914695899557955e-06,-2.842170943040401e-14,-3.5910046060002622e-09
0.34000000000000086,6.1090613172609665e-06,0.34000000000000047,6.109061345682676e-06,-2.842170943040401e-14,-4.652385664859932e-09
0.35000000000000087,4.472364068419665e-06,0.3500000000000005,4.47236408263052e-06,-1.4210854715202004e-14,-3.1774816299936775e-09
0.3600000000000009,3.0916678639414386e-06,0.3600000000000005,3.091667892363148e-06,-2.842170943040401e-14,-9.193002101101999e-09
0.3700000000000009,2.0628274342016084e-06,0.3700000000000005,2.062827448412463e-06,-1.4210854715202004e-14,-6.8890176568760384e-09
0.3800000000000009,1.490630452849473e-06,0.3800000000000005,1.4906304812711824e-06,-2.842170943040401e-14,-1.906690476781777e-08
0.3900000000000009,1.4889283619368143e-06,0.3900000000000005,1.488928376147669e-06,-1.4210854715202004e-14,-9.544350784669711e-09
0.4000000000000009,2.1807561410014387e-06,0.4000000000000005,2.180756169423148e-06,-2.842170943040401e-14,-1.3032960689925318e-08
0.4100000000000009,3.698442370136945e-06,0.41000000000000053,3.6984423985586545e-06,-2.842170943040401e-14,-7.684778176207483e-09
0.42000000000000093,6.183709913898383e-06,0.42000000000000054,6.183709885476674e-06,2.842170943040401e-14,4.596222972419268e-09
0.43000000000000094,9.787768632918414e-06,0.43000000000000055,9.787768661340124e-06,-2.842170943040401e-14,-2.9037986505202666e-09
0.44000000000000095,1.4671400379029365e-05,0.44000000000000056,1.4671400407451074e-05,-2.842170943040401e-14,-1.937218577714616e-09
0.45000000000000095,2.1005036757060225e-05,0.45000000000000057,2.100503679969279e-05,-4.263256414560601e-14,-2.0296352990074045e-09
0.46000000000000096,2.8968830889652963e-05,0.4600000000000006,2.8968830918074673e-05,-2.842170943040401e-14,-9.81113442609474e-10
0.470000000000001,3.875272301456789e-05,0.4700000000000006,3.87527230429896e-05,-2.842170943040401e-14,-7.334119307919322e-10
0.480000000000001,5.055650107976817e-05,0.4800000000000006,5.055650109397902e-05,-1.4210854715202004e-14,-2.8108857234375407e-10
0.490000000000001,6.458985593837951e-05,0.4900000000000006,6.458985598101208e-05,-4.263256414560601e-14,-6.600504599071872e-10
0.500000000000001,8.107243286303856e-05,0.5000000000000006,8.107243289146027e-05,-2.842170943040401e-14,-3.505718086498647e-10
