run,c8_over_f4_TeV4,c6_over_f2_TeV2,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run05,0.0,3.2,18.63052904790005,20.118070324728365,0.07984428531276637,9.2284051890855e-17,6.124931874638878e-17,-0.3362957359216435
run05,0.0,3.204040404040404,15.97728268112228,16.989939270866806,0.06338102729702692,1.2643822217471672e-16,8.718979825298407e-17,-0.3104158160931575
run05,0.0,3.2080808080808083,16.989939270866806,22.060720029485164,0.29845785071835945,1.138399858038355e-16,5.4035833656984114e-17,-0.5253352038351753
run05,0.0,3.2121212121212124,16.47583267897981,22.402263950746985,0.35970450703400453,1.242217785780149e-16,5.260967881742203e-17,-0.576485867295954
run05,0.0,3.2161616161616164,14.129445033049324,18.34648882945646,0.2984578507183621,1.7257790568974802e-16,8.04180333181039e-17,-0.534018952213527
run05,0.0,3.2202020202020205,18.34648882945646,18.06677907556844,-0.015245955587912221,1.0376344075053583e-16,8.487906426877471e-17,-0.18199450929120817
run05,0.0,3.224242424242425,19.81135111804306,13.49299699644052,-0.3189259573441279,9.263583418502828e-17,1.5494689115692331e-16,0.6726452837617529
run05,0.0,3.2282828282828286,15.97728268112228,18.918966775122765,0.1841166706949605,1.4395916181767358e-16,7.967280469038475e-17,-0.44655967925618
run05,0.0,3.2323232323232327,16.22464286568221,14.348197007390617,-0.11565406239299016,1.4588161241338438e-16,1.4258602271981332e-16,-0.022590850478347805
run05,0.0,3.2363636363636363,15.49381854297249,17.520087879747475,0.1307792092152801,1.6107919930921476e-16,9.689228109448527e-17,-0.39848048965970734
run05,0.0,3.2404040404040404,18.06677907556844,17.252977398036524,-0.04504409303551035,1.2110447464257922e-16,1.0442578737170008e-16,-0.13772147825341435
run05,0.0,3.2444444444444445,14.348197007390617,18.63052904790005,0.2984578507183618,1.986043351351405e-16,9.091875724848143e-17,-0.542211617955793
run05,0.0,3.2484848484848485,15.024983774380862,14.129445033049324,-0.059603308381505474,1.83071897653679e-16,1.6311256960593746e-16,-0.10902453245718258
run05,0.0,3.2525252525252526,15.733693738950372,14.79591353904755,-0.05960330838150551,1.7130737745784815e-16,1.4927684940515394e-16,-0.12860233096566454
run05,0.0,3.2565656565656567,14.570335698348613,15.97728268112228,0.09656242737997646,2.0402736300723822e-16,1.3106415238289256e-16,-0.35761482944695594
run05,0.0,3.2606060606060607,14.79591353904755,15.97728268112228,0.07984428531276594,1.9948172377327983e-16,1.370914643156437e-16,-0.3127617822700667
run05,0.0,3.264646464646465,15.97728268112228,16.22464286568221,0.015481993371263013,1.750602676163864e-16,1.3517982893360372e-16,-0.22780976646381923
run05,0.0,3.268686868686869,15.733693738950372,13.701895486497882,-0.12913676128209897,1.844151081827968e-16,1.936049191911448e-16,0.0498322024637962
run05,0.0,3.272727272727273,14.348197007390617,14.79591353904755,0.031203678861275667,2.294616054433485e-16,1.713840420612382e-16,-0.25310362171439177
run05,0.0,3.276767676767677,13.914028141593606,14.570335698348613,0.04716876738182579,2.5358845297890915e-16,1.76437477602215e-16,-0.3042369416682816
run05,0.0,3.280808080808081,13.914028141593606,16.22464286568221,0.1660636805226386,2.597213166740128e-16,1.4621076883608055e-16,-0.437047483400849
run05,0.0,3.284848484848485,14.348197007390617,17.791333764165667,0.2399699944879154,2.508751168109097e-16,1.2432545365439974e-16,-0.5044329017767567
run05,0.0,3.288888888888889,15.25760047357916,13.287283363484956,-0.1291367612820971,2.270983886590825e-16,2.277522774338744e-16,0.0028793193058430154
run05,0.0,3.2929292929292933,13.084706031441256,15.733693738950372,0.20244915714146428,3.155544425164374e-16,1.6714336004075714e-16,-0.4703184695869064
run05,0.0,3.2969696969696973,14.129445033049324,13.701895486497882,-0.030259472014037798,2.712909560592692e-16,2.2842515444892493e-16,-0.15800674756359864
run05,0.0,3.3010101010101014,10.881712506287604,14.79591353904755,0.3597045070340047,4.717557138978111e-16,2.0015204304611944e-16,-0.5757294778850836
run05,0.0,3.305050505050505,8.380489594072982,11.93247707994576,0.4238400926343118,8.197859795583388e-16,3.1857734455825473e-16,-0.6113896157020288
run05,0.0,3.309090909090909,11.22126196879453,11.750555064331126,0.04716876738182568,4.740959589673448e-16,3.3551777352709457e-16,-0.29229986634371485
run05,0.0,3.313131313131313,13.084706031441256,13.084706031441256,0.0,3.5159774467241747e-16,2.786700778850221e-16,-0.20741790268120708
run05,0.0,3.317171717171717,10.55243763123881,11.050183107177936,0.04716876738182563,5.471776089045103e-16,3.914872642645537e-16,-0.2845334715937301
run05,0.0,3.3212121212121213,9.47648339602273,10.715810400696313,0.13077920921528,7.00655227880109e-16,4.3703164544821753e-16,-0.37625293003166005
run05,0.0,3.3252525252525253,13.701895486497882,13.701895486497882,0.0,3.4466288570304796e-16,2.715138788416686e-16,-0.21223348928959687
run05,0.0,3.3292929292929294,8.00299804111444,12.30481426276792,0.5375255872303625,1.0273888764767493e-15,3.450148931243134e-16,-0.6641827636800179
run05,0.0,3.333333333333333,11.39498947221261,14.129445033049324,0.23996999448791545,5.323767441600259e-16,2.702142710526815e-16,-0.49243787596503574
run05,0.0,3.337373737373737,9.772184540646425,11.22126196879453,0.14828592543671396,7.338770236540873e-16,4.41339011260957e-16,-0.39861993626198877
run05,0.0,3.3414141414141416,10.715810400696313,10.391555635768707,-0.030259472014037826,6.341966739853836e-16,5.24864485679821e-16,-0.17239476772797205
run05,0.0,3.3454545454545457,9.923477436927469,12.30481426276792,0.23996999448791678,7.641002759925778e-16,3.774991698753492e-16,-0.50595598282572
run05,0.0,3.3494949494949497,9.33200535103738,9.189730011909294,-0.015245955587913319,8.759494887562322e-16,6.990336455265732e-16,-0.20197037100947818
run05,0.0,3.353535353535354,10.077112648825867,7.411251927676268,-0.26454608716319267,7.70763494258157e-16,1.1115786533927869e-15,0.44217864711231175
run05,0.0,3.357575757575758,12.30481426276792,11.22126196879453,-0.0880592157536273,5.362331741485853e-16,4.989012384749422e-16,-0.06961884768303947
run05,0.0,3.361616161616162,7.88098468840946,10.715810400696313,0.3597045070340033,1.3249427774576726e-15,5.519237056451113e-16,-0.5834358169760705
run05,0.0,3.3656565656565656,7.298260309936079,13.084706031441256,0.7928527451435691,1.5800129192209098e-15,3.81892493797656e-16,-0.7582978663326603
run05,0.0,3.3696969696969696,10.55243763123881,12.885217184405017,0.22106546702160879,7.732952982870575e-16,4.1513373038631793e-16,-0.4631627383408521
run05,0.0,3.3737373737373737,11.39498947221261,9.923477436927469,-0.1291367612820981,6.842380993913545e-16,7.0840705171733515e-16,0.03532242993700515
run05,0.0,3.3777777777777778,10.55243763123881,8.510236278416366,-0.19352887211357042,8.377793003517684e-16,9.925626519467101e-16,0.18475432793571175
run05,0.0,3.381818181818182,8.380489594072982,9.772184540646425,0.1660636805226398,1.357825386834041e-15,7.637714989855422e-16,-0.4375038893871458
run05,0.0,3.385858585858586,9.33200535103738,13.084706031441256,0.40213228981771987,1.1413927633078572e-15,4.3992798944025245e-16,-0.6145691443098849
run05,0.0,3.38989898989899,8.00299804111444,12.885217184405017,0.6100487739980397,1.5757664347146639e-15,4.779593693722529e-16,-0.6966813362420677
run05,0.0,3.393939393939394,5.450634229228843,10.23312644005646,0.8774193992291139,3.4472305167940927e-15,7.64271900694005e-16,-0.7782939385774602
run05,0.0,3.397979797979798,5.976960701163556,10.55243763123881,0.7655189918154439,3.026710792379063e-15,7.370781976125691e-16,-0.7564755114798367
run05,0.0,3.402020202020202,8.641991700066688,7.0774188063364125,-0.18104309145751693,1.461338671003554e-15,1.6945418317638973e-15,0.15958187201067792
run05,0.0,3.4060606060606062,9.04962379628282,10.077112648825867,0.1135393996118484,1.4080618811443933e-15,8.776450586253766e-16,-0.3766999374259914
run05,0.0,3.4101010101010103,10.881712506287604,9.772184540646425,-0.10196262444905421,1.000869325469282e-15,9.587028764841162e-16,-0.04212982445575008
run05,0.0,3.4141414141414144,6.758622895172531,11.39498947221261,0.6859927900921484,2.6656007663107867e-15,7.287019634675512e-16,-0.7266274932550831
run05,0.0,3.4181818181818184,5.6207140693079705,9.33200535103738,0.6602882188928617,3.91204631965561e-15,1.1092447904842894e-15,-0.7164540754768108
run05,0.0,3.4222222222222225,6.863259850034464,5.6207140693079705,-0.18104309145751699,2.727979123300932e-15,3.196162159040366e-15,0.1716226607969489
run05,0.0,3.4262626262626266,10.715810400696313,7.0774188063364125,-0.3395348982773601,1.175145540057472e-15,2.087827584793019e-15,0.7766544769347556
run05,0.0,3.43030303030303,7.186991357381771,6.863259850034464,-0.04504409303550945,2.690909180173115e-15,2.2695409794582786e-15,-0.1565895288549755
run05,0.0,3.4343434343434343,2.1682703338466798,8.775786958281639,3.0473675359071635,3.028088249799423e-14,1.4469115787121145e-15,-0.9522169943756443
run05,0.0,3.4383838383838383,9.923477436927469,2.6885901539081773,-0.7290677415254319,1.4976184819121173e-15,1.5919512017775746e-14,9.629884853884922
run05,0.0,3.4424242424242424,11.22126196879453,4.74675697793289,-0.5769854592885134,1.198941776195824e-15,5.202254362996696e-15,3.339038363900507
run05,0.0,3.4464646464646465,7.760831545860945,5.885836223762919,-0.24159721944976512,2.620269064675364e-15,3.5379367202200214e-15,0.35021886412964653
run05,0.0,3.4505050505050505,7.525992880893312,6.163463863449122,-0.18104309145751699,2.937512722690911e-15,3.3738925200495247e-15,0.14855418122542388
run05,0.0,3.4545454545454546,6.5541105348226285,5.285700915310741,-0.19352887211356953,3.911866184724683e-15,4.686986288212981e-15,0.198145863607257
run05,0.0,3.4585858585858587,10.077112648825867,8.510236278416366,-0.15548862308213507,1.710472646318272e-15,1.883143735895804e-15,0.10094934283176044
run05,0.0,3.4626262626262627,6.655581230677283,9.923477436927469,0.49100087475269816,4.1301386231111096e-15,1.4455309864721362e-15,-0.6500042448010471
run05,0.0,3.466666666666667,3.599953690660534,5.6207140693079705,0.5613295481800099,1.4475750228901358e-14,4.6759236665712025e-15,-0.6769822915819899
run05,0.0,3.470707070707071,8.126900403737212,6.069495967119274,-0.2531597945597839,2.983053372667888e-15,4.126555117256257e-15,0.38333264669873485
run05,0.0,3.474747474747475,2.948206945399453,4.395779134542565,0.49100087475269827,2.304305813068048e-14,8.195101422547753e-15,-0.6443570390669433
run05,0.0,3.478787878787879,7.298260309936079,7.88098468840946,0.0798442853127671,3.93967155594698e-15,2.644736165451005e-15,-0.32869120486484593
run05,0.0,3.482828282828283,4.463834557965092,4.463834557965092,0.0,1.0918233422147414e-14,8.434507537528995e-15,-0.22748422648486624
run05,0.0,3.486868686868687,5.885836223762919,6.758622895172531,0.1482859254367129,6.5905868996903455e-15,3.815267748042918e-15,-0.42110349106812084
run05,0.0,3.490909090909091,5.205115353904921,6.5541105348226285,0.25916720172314345,8.622034016566433e-15,4.1837058622148905e-15,-0.514765790279151
run05,0.0,3.4949494949494957,5.125758396389326,3.947573957486212,-0.229855632628539,9.471819396448455e-15,1.2395468304570329e-14,0.30866814344223265
run05,0.0,3.4989898989898998,4.74675697793289,4.395779134542565,-0.07394055457694156,1.1323979892498872e-14,1.0224332105942608e-14,-0.09710788936358698
run05,0.0,3.503030303030303,4.395779134542565,8.00299804111444,0.8206096794595324,1.3641145103655647e-14,3.2069577909043067e-15,-0.7649055290787219
run05,0.0,3.507070707070707,3.282944591911588,3.828122453796317,0.1660636805226383,2.579785226225796e-14,1.4395773847524462e-14,-0.4419778165570256
run05,0.0,3.511111111111111,5.707733927270761,4.970655653643069,-0.12913676128209722,8.923739983415433e-15,9.158101611938137e-15,0.026262713722974774
run05,0.0,3.515151515151515,7.298260309936079,4.532943615001923,-0.3789008034105564,5.79093509712221e-15,1.1177193639142464e-14,0.9301189620821241
run05,0.0,3.519191919191919,5.707733927270761,4.820246238000243,-0.15548862308213512,9.633535325060696e-15,1.0409276523102962e-14,0.08052507951304765
run05,0.0,3.5232323232323237,6.969516793537952,4.532943615001923,-0.3496043198855894,6.945118295694386e-15,1.2371620226213422e-14,0.7813404609512824
run05,0.0,3.527272727272728,3.1836044219090054,4.463834557965092,0.4021322898177199,3.4920766404158444e-14,1.3429686391770523e-14,-0.6154240649720882
run05,0.0,3.5313131313131314,4.197775250242678,4.463834557965092,0.06338102729702665,2.0495716075718343e-14,1.4035489943362438e-14,-0.3151988497737562
run05,2.0,3.0,22.74909565273373,22.74909565273373,0.0,5.0264520786014413e-17,3.8849525126512376e-17,-0.227098467885486
run05,2.0,3.004040404040404,20.118070324728365,20.118070324728365,0.0,6.541079411169751e-17,5.092789021752742e-17,-0.22141458593880747
run05,2.0,3.008080808080808,24.945803549660923,23.10129700083158,-0.07394055457694067,4.318967606684502e-17,3.89105873764512e-17,-0.09907665627709361
run05,2.0,3.012121212121212,19.81135111804306,24.56548093663801,0.23996999448791545,6.86592686508319e-17,3.483805187070211e-17,-0.4925950631971959
run05,2.0,3.0161616161616163,19.81135111804306,24.19095670528232,0.22106546702160884,7.040748283913353e-17,3.668199412287648e-17,-0.4790043239198422
run05,2.0,3.0202020202020203,20.118070324728365,17.520087879747475,-0.12913676128209714,7.060800885788849e-17,7.263628152838348e-17,0.028725815998823255
run05,2.0,3.0242424242424244,18.918966775122765,20.42953815613841,0.0798442853127661,8.067503003697911e-17,5.402987284068423e-17,-0.3302776234986402
run05,2.0,3.0282828282828285,23.82214245372448,18.63052904790005,-0.21793226263797888,5.2508382442363225e-17,6.732428051634109e-17,0.28216253072051495
run05,2.0,3.0323232323232325,20.74582813044975,16.73091141130181,-0.1935288721135712,6.991856064294853e-17,8.472449745420191e-17,0.21175974841448045
run05,2.0,3.036363636363636,19.81135111804306,20.118070324728365,0.015481993371262905,7.906970675880915e-17,5.917794042300599e-17,-0.2515725320251933
run05,2.0,3.04040404040404,19.81135111804306,20.42953815613841,0.031203678861273624,7.929725392157109e-17,5.963639497781128e-17,-0.24793871125985487
run05,2.0,3.0444444444444443,21.39317428914348,17.252977398036524,-0.19352887211356973,7.066201548151766e-17,8.487518448941209e-17,0.20114298907327408
run05,2.0,3.0484848484848484,20.42953815613841,16.989939270866806,-0.16836400602811064,7.801106277186929e-17,8.928872851562334e-17,0.1445649545466872
run05,2.0,3.0525252525252524,17.520087879747475,23.45895112786603,0.33897451250707733,1.1056595118600358e-16,4.802747567250865e-17,-0.5656214670309064
run05,2.0,3.0565656565656565,16.47583267897981,15.49381854297249,-0.05960330838150556,1.2649930124286812e-16,1.1073797981823473e-16,-0.12459611452218983
run05,2.0,3.060606060606061,14.570335698348613,20.74582813044975,0.4238400926343145,1.668394491088429e-16,6.390374562380121e-17,-0.61697460663448
run05,2.0,3.0646464646464646,17.520087879747475,17.791333764165667,0.015481993371262817,1.1526200621100858e-16,8.876154718320107e-17,-0.22991495549100097
run05,2.0,3.0686868686868687,14.129445033049324,15.97728268112228,0.13077920921527994,1.8089923856954302e-16,1.1396809808092403e-16,-0.36999127811634586
run05,2.0,3.0727272727272728,16.47583267897981,17.791333764165667,0.079844285312766,1.3859902001634828e-16,9.379101822724487e-17,-0.32329234206575297
run05,2.0,3.076767676767677,16.989939270866806,16.47583267897981,-0.030259472014037822,1.3110950354081718e-16,1.1112640406568276e-16,-0.15241533935725152
run05,2.0,3.080808080808081,15.733693738950372,17.520087879747475,0.11353939961184713,1.5617054323875614e-16,1.0049756935540112e-16,-0.35648831545806464
run05,2.0,3.084848484848485,15.024983774380862,14.79591353904755,-0.0152459555879122,1.7605076050982094e-16,1.4088823041843966e-16,-0.19972949841031643
run05,2.0,3.088888888888889,14.348197007390617,18.06677907556844,0.2591672017231446,2.002296207398808e-16,9.804164497780651e-17,-0.5103539395643523
run05,2.0,3.092929292929293,15.733693738950372,19.81135111804306,0.25916720172314206,1.6914699764701374e-16,8.337578703906608e-17,-0.5070808929576169
run05,2.0,3.096969696969697,16.22464286568221,16.989939270866806,0.04716876738182781,1.646421923628623e-16,1.1477803708450762e-16,-0.302863771204266
run05,2.0,3.101010101010101,14.79591353904755,14.79591353904755,0.0,1.974990972698353e-16,1.556919069469979e-16,-0.211682943875525
run05,2.0,3.105050505050505,14.129445033049324,15.733693738950372,0.1135393996118494,2.2418063462019247e-16,1.421679528895052e-16,-0.36583303401577666
run05,2.0,3.109090909090909,16.47583267897981,13.49299699644052,-0.1810430914575171,1.668603195337308e-16,1.9774501379811287e-16,0.18509310272619206
run05,2.0,3.113131313131313,15.733693738950372,14.129445033049324,-0.1019626244490552,1.8737954614850691e-16,1.8170118480513142e-16,-0.03030406178311015
run05,2.0,3.117171717171717,12.30481426276792,14.129445033049324,0.1482859254367128,3.138316525722525e-16,1.8619391896991123e-16,-0.4067076490092268
run05,2.0,3.121212121212121,11.39498947221261,15.024983774380862,0.31856056655604814,3.8446255194495453e-16,1.7006507520651251e-16,-0.5576550320800513
run05,2.0,3.125252525252525,12.30481426276792,15.25760047357916,0.23996999448791537,3.293343497297685e-16,1.721717116647881e-16,-0.47721301526530224
run05,2.0,3.129292929292929,12.495317315618712,12.117215611000251,-0.03025947201403573,3.305268914173503e-16,2.733662496445735e-16,-0.17293794622175263
run05,2.0,3.1333333333333333,13.914028141593606,14.570335698348613,0.04716876738182579,2.756896631879984e-16,1.9555484481560799e-16,-0.29067037713976546
run05,2.0,3.1373737373737374,11.93247707994576,14.570335698348613,0.22106546702160876,3.768136010390227e-16,2.013557260759735e-16,-0.465635726733969
run05,2.0,3.141414141414141,9.33200535103738,11.571406623687016,0.23996999448791542,6.266811287486483e-16,3.202523592867446e-16,-0.48897079456306297
run05,2.0,3.145454545454545,12.688769735470949,11.39498947221261,-0.10196262444905344,3.509981657164201e-16,3.409824454219033e-16,-0.028534964774171404
run05,2.0,3.1494949494949496,12.885217184405017,13.49299699644052,0.04716876738182565,3.466396586839689e-16,2.523502624386764e-16,-0.27200983466019407
run05,2.0,3.1535353535353536,12.30481426276792,13.701895486497882,0.1135393996118471,3.896535373623669e-16,2.501464219142725e-16,-0.3580286127836604
run05,2.0,3.1575757575757577,13.084706031441256,12.688769735470949,-0.030259472014037683,3.6342939228700433e-16,2.952065483926445e-16,-0.18771966533868975
run05,2.0,3.1616161616161618,12.495317315618712,13.701895486497882,0.09656242737997459,3.984832410029248e-16,2.6128530796461256e-16,-0.3443003843599667
run05,2.0,3.1656565656565654,9.189730011909294,12.30481426276792,0.33897451250707894,7.526581680470652e-16,3.343916956608923e-16,-0.5557190370649348
run05,2.0,3.169696969696969,9.189730011909294,12.495317315618712,0.3597045070340033,7.897964086250925e-16,3.3307303282522517e-16,-0.5782798842994851
run05,2.0,3.173737373737373,11.22126196879453,12.30481426276792,0.09656242737997443,5.387072693702679e-16,3.5022265914087897e-16,-0.34988317579178324
run05,2.0,3.1777777777777776,11.22126196879453,12.117215611000251,0.0798442853127661,5.557032507666201e-16,3.691616024281276e-16,-0.33568572449621104
run05,2.0,3.1818181818181817,11.22126196879453,10.55243763123881,-0.059603308381505446,5.708746598521566e-16,4.969613961580229e-16,-0.12947371619765982
run05,2.0,3.1858585858585857,10.077112648825867,10.881712506287604,0.0798442853127661,7.119995040782194e-16,4.876214690418066e-16,-0.3151379091575363
run05,2.0,3.18989898989899,8.91165363379737,11.93247707994576,0.3389745125070777,9.368412111836233e-16,4.097645756143785e-16,-0.5626104288295836
